id,GoodID,CatalogMarketID,Price,WriteDate
882615,1494,6,279.00,2021-06-24 13:57:36.000000
882631,1494,12,251.00,2021-08-25 00:02:16.000000
882633,1494,10,279.00,2021-07-09 11:17:40.000000
882636,77,80,378.00,2021-09-07 17:05:15.000000
882637,77,328,389.00,2021-08-31 12:49:03.000000
882638,77,82,389.00,2021-06-24 13:57:36.000000
882642,77,10,389.00,2021-09-08 10:47:04.000000
882645,77,12,389.00,2021-08-25 00:02:04.000000
882650,77,6,389.00,2021-09-13 11:22:03.000000
882653,77,28,388.65,2021-09-11 11:08:03.000000
882657,77,128,389.00,2021-06-24 13:57:36.000000
882663,77,43,389.00,2021-09-02 13:05:03.000000
882667,77,834,403.99,2021-09-13 02:20:03.000000
882668,77,9,380.03,2021-09-10 04:59:03.000000
882707,333,174,6290.00,2021-08-14 13:57:28.000000
882708,333,328,6290.00,2021-08-14 13:57:28.000000
882725,333,383,6290.00,2021-08-14 13:57:28.000000
882732,333,157,7130.00,2021-06-24 13:57:37.000000
882737,333,449,6315.61,2021-09-13 17:24:04.000000
882757,2100,80,1099.00,2021-08-24 18:00:15.000000
882758,2100,328,1272.05,2021-09-13 14:23:09.000000
882766,2100,792,1333.82,2021-09-07 11:42:39.000000
882783,2100,28,1259.46,2021-09-13 21:25:28.000000
882793,2100,9,1187.16,2021-09-13 21:25:28.000000
882836,400,157,999.00,2021-08-14 15:24:14.000000
882840,1540,80,1458.66,2021-09-13 17:24:08.000000
882847,1540,9,1503.36,2021-09-03 22:13:10.000000
882854,1540,28,1481.09,2021-09-06 16:34:11.000000
882859,1540,792,1563.49,2021-09-06 19:35:08.000000
882860,1540,10,1458.76,2021-09-11 12:01:52.000000
882864,1540,12,1520.48,2021-09-08 22:51:13.000000
882880,2667,10,482.00,2021-07-14 10:24:31.000000
882881,2667,13,525.91,2021-07-14 13:12:29.000000
882882,2667,36,482.04,2021-07-14 13:12:29.000000
882883,2667,16,487.63,2021-07-14 13:12:29.000000
882884,2667,18,496.62,2021-07-15 12:21:08.000000
882887,2667,23,496.91,2021-07-13 19:52:57.000000
882889,2667,32,495.48,2021-07-14 17:10:18.000000
882891,2667,6,499.00,2021-06-28 11:28:19.000000
882896,2667,80,495.48,2021-07-15 07:58:08.000000
882898,2667,19,522.95,2021-07-05 19:44:23.000000
882914,2667,28,482.00,2021-07-14 13:12:29.000000
882919,2667,12,501.22,2021-07-03 01:45:39.000000
882920,2667,93,533.70,2021-07-14 07:37:24.000000
882922,2667,9,515.15,2021-06-29 21:46:08.000000
882925,2667,82,506.25,2021-07-15 12:21:08.000000
882940,2556,44,445.02,2021-09-14 02:26:13.000000
882957,2556,9,408.81,2021-09-08 16:49:22.000000
882959,2556,28,395.93,2021-09-11 11:08:13.000000
882960,2556,18,391.90,2021-09-13 17:24:15.000000
882969,2556,32,393.40,2021-09-09 16:55:13.000000
883019,2726,19,629.50,2021-07-05 19:44:25.000000
883023,2726,28,532.07,2021-07-15 00:38:41.000000
883024,2726,9,532.07,2021-07-14 20:54:54.000000
883026,2726,449,632.55,2021-07-15 12:21:10.000000
883032,2726,18,531.06,2021-07-15 12:21:10.000000
883046,2544,10,952.29,2021-07-15 12:21:03.000000
883047,2544,13,968.12,2021-07-14 13:12:27.000000
883053,2544,9,959.59,2021-07-14 20:54:44.000000
883060,2544,18,957.59,2021-07-15 14:55:02.000000
883071,2544,28,927.32,2021-07-07 03:00:22.000000
883073,2544,449,1036.52,2021-07-15 12:21:03.000000
883080,2544,6,1090.10,2021-07-12 22:32:07.000000
883083,2544,32,927.32,2021-07-06 20:16:21.000000
883087,3950,80,1686.67,2021-08-31 18:51:18.000000
883088,3950,82,1699.00,2021-09-13 14:23:19.000000
883091,3950,834,1699.00,2021-09-03 16:11:21.000000
883094,3950,792,1808.27,2021-09-10 23:04:17.000000
883102,3950,9,1733.02,2021-09-13 14:23:19.000000
883104,3950,28,1728.50,2021-09-13 14:23:19.000000
883105,3950,6,1699.00,2021-09-03 13:11:20.000000
883115,3950,38,1715.00,2021-08-14 13:57:39.000000
883128,2769,10,619.40,2021-07-15 12:21:11.000000
883130,2769,36,646.72,2021-07-12 16:54:21.000000
883131,2769,16,634.19,2021-07-15 12:21:11.000000
883142,2769,18,652.65,2021-07-15 12:21:11.000000
883146,2769,28,619.40,2021-07-15 00:38:42.000000
883153,2769,32,632.95,2021-07-09 17:17:53.000000
883154,2769,6,673.50,2021-07-05 05:13:15.000000
883155,2769,9,619.40,2021-07-14 20:54:54.000000
883158,2769,449,736.89,2021-07-15 12:21:11.000000
883176,2509,10,406.40,2021-09-11 11:08:12.000000
883178,2509,36,403.20,2021-09-12 20:18:12.000000
883179,2509,16,393.37,2021-09-11 20:11:10.000000
883199,2509,80,432.26,2021-09-11 08:07:11.000000
