id,CurrencyID,Scale,Rate,WriteDate
11,160,1,2.5992,2020-09-14 09:42:01.000000
13,126,10,6.9382,2020-09-14 09:42:01.000000
15,132,100,3.4708,2020-09-14 09:42:01.000000
16,51,1,3.0785,2020-09-14 09:48:02.000000
17,33,10,3.8030,2020-09-14 09:48:02.000000
18,160,1,2.5940,2020-09-15 03:00:01.000000
19,51,1,3.0744,2020-09-15 03:00:01.000000
20,126,10,6.9071,2020-09-15 03:00:01.000000
21,33,10,3.8009,2020-09-15 03:00:01.000000
22,132,100,3.4647,2020-09-15 03:00:01.000000
23,160,1,2.5900,2020-09-16 03:00:01.000000
24,51,1,3.0780,2020-09-16 03:00:01.000000
25,126,10,6.9269,2020-09-16 03:00:01.000000
26,33,10,3.8215,2020-09-16 03:00:01.000000
27,132,100,3.4437,2020-09-16 03:00:01.000000
28,160,1,2.5781,2020-09-17 03:00:01.000000
29,51,1,3.0586,2020-09-17 03:00:02.000000
30,126,10,6.8822,2020-09-17 03:00:02.000000
31,33,10,3.8157,2020-09-17 03:00:02.000000
32,132,100,3.4420,2020-09-17 03:00:02.000000
33,160,1,2.5755,2020-09-18 03:00:01.000000
34,51,1,3.0365,2020-09-18 03:00:01.000000
35,126,10,6.8211,2020-09-18 03:00:01.000000
36,33,10,3.8052,2020-09-18 03:00:01.000000
37,132,100,3.4258,2020-09-18 03:00:01.000000
38,160,1,2.5658,2020-09-19 03:00:01.000000
39,51,1,3.0414,2020-09-19 03:00:01.000000
40,126,10,6.8286,2020-09-19 03:00:01.000000
41,33,10,3.7970,2020-09-19 03:00:01.000000
42,132,100,3.4205,2020-09-19 03:00:01.000000
43,160,1,2.5833,2020-09-22 03:00:02.000000
44,51,1,3.0555,2020-09-22 03:00:02.000000
45,126,10,6.7959,2020-09-22 03:00:02.000000
46,33,10,3.8109,2020-09-22 03:00:02.000000
47,132,100,3.3978,2020-09-22 03:00:02.000000
48,160,1,2.5905,2020-09-23 03:00:01.000000
49,51,1,3.0398,2020-09-23 03:00:01.000000
50,126,10,6.7466,2020-09-23 03:00:01.000000
51,33,10,3.8181,2020-09-23 03:00:01.000000
52,132,100,3.3975,2020-09-23 03:00:01.000000
53,160,1,2.5908,2020-09-24 03:00:01.000000
54,51,1,3.0296,2020-09-24 03:00:01.000000
55,126,10,6.7625,2020-09-24 03:00:01.000000
56,33,10,3.8166,2020-09-24 03:00:01.000000
57,132,100,3.3936,2020-09-24 03:00:01.000000
58,160,1,2.6042,2020-09-25 03:00:01.000000
59,51,1,3.0359,2020-09-25 03:00:01.000000
60,126,10,6.6968,2020-09-25 03:00:01.000000
61,33,10,3.8128,2020-09-25 03:00:01.000000
62,132,100,3.3779,2020-09-25 03:00:01.000000
63,51,1,3.0318,2020-09-26 03:00:01.000000
64,126,10,6.6505,2020-09-26 03:00:01.000000
65,33,10,3.8084,2020-09-26 03:00:01.000000
66,132,100,3.3813,2020-09-26 03:00:01.000000
67,160,1,2.6264,2020-09-29 03:00:02.000000
68,51,1,3.0570,2020-09-29 03:00:02.000000
69,126,10,6.7133,2020-09-29 03:00:02.000000
70,33,10,3.8524,2020-09-29 03:00:02.000000
71,132,100,3.3365,2020-09-29 03:00:02.000000
72,160,1,2.6403,2020-09-30 03:00:01.000000
73,51,1,3.0840,2020-09-30 03:00:01.000000
74,126,10,6.7648,2020-09-30 03:00:01.000000
75,33,10,3.8721,2020-09-30 03:00:01.000000
76,132,100,3.3149,2020-09-30 03:00:01.000000
77,160,1,2.6236,2020-10-01 03:00:02.000000
78,51,1,3.0727,2020-10-01 03:00:02.000000
79,126,10,6.7755,2020-10-01 03:00:02.000000
