id,GoodID,StockID,VendorCode
92,1,7,1245678
93,1,10,5997049
309500,1,12,108393
79,4,7,0338581
309499,4,12,98460
94,6,7,1229426
95,6,10,5973692
309498,6,12,115253
309497,8,12,110010
501113,8,5,0000210405
361814,8,7,1554885
281593,9,10,5913630
339589,9,23,X509JA-BQ084
344059,9,12,108774
344060,9,7,1238497
361659,9,25,X509JA-BQ084
2254,11,7,1355497
2255,11,10,5978296
361602,11,12,109383
2132,13,7,1234607
2133,13,10,5973863
310221,13,12,107510
458368,13,12,108851
2159,15,7,1275757
2160,15,10,5956497
310229,15,23,FA506II-AL114
327559,15,12,109056
103,16,7,0137547
104,16,10,497371
309515,16,12,107462
2214,17,7,0928459
2215,17,10,5788877
303717,17,10,6294042
332905,17,23,FX505DT-BQ078
361619,17,12,104451
98,18,10,954913
296456,18,7,0298389
361431,19,7,0870271
361432,19,10,5784827
526901,19,23,MVVJ2
105,22,10,5973691
296457,22,7,1232925
361433,24,23,FA506IU-HN200
361434,24,10,5913776
488836,24,7,1236584
497406,24,12,107832
2271,26,7,0527505
2272,26,10,1126747
86,27,7,0798423
87,27,10,5740336
2672,28,7,1355342
2182,30,7,1250793
327556,30,12,109233
124,35,7,0338733
125,35,10,938971
325850,35,12,98467
122,37,7,0291239
123,37,10,803967
309509,37,12,107463
102,39,10,5662217
309505,39,12,101625
101,39,7,0674021
84,41,7,0544731
85,41,10,1166089
309503,41,25,SM-T295NZKASER
325705,41,12,104792
361820,41,23,SM-T295NZKASER
82,43,7,1117053
83,43,10,5895324
325697,43,12,106094
111,45,7,1529592
2241,50,7,1240971
2242,50,10,5913778
310234,50,12,109021
132,51,7,1252010
133,51,10,5980113
361840,51,23,SM-P610NZAASER
2167,52,7,1355503
2168,52,10,6030325
332899,52,12,110094
332900,52,10,6246526
119,53,7,1095114
120,53,10,5860348
622016,53,12,111522
130,55,7,0773117
343586,57,7,1434748
303656,57,10,6038612
2236,61,7,1238496
2237,61,10,5913660
310262,61,12,108775
310263,61,23,90NB0PB3-M01960
139,62,7,0798425
140,62,10,5740330
2230,65,7,1267003
2231,65,10,6139048
310230,65,12,107517
2258,68,10,6293063
88,71,7,1430424
89,71,10,6038616
309506,71,12,110009
492888,71,5,0000210404
336815,74,12,108932
339587,74,7,1280670
342847,74,25,S533FL-BQ086
80,77,7,1118562
81,77,10,5900269
309496,77,12,106113
346649,77,5,3796141
281594,78,10,5956463
337004,78,12,108777
342850,78,25,X509JA-EJ022
344076,78,7,1355526
158,81,7,0785743
159,81,10,5657565
515920,81,12,111991
281645,89,7,1188080
2449,92,10,1058081
344041,94,25,D509DJ-BQ068
344042,94,12,111307
346819,94,7,1238492
117,98,7,1265120
118,98,10,5953814
309512,98,12,110610
589388,99,10,5784844
145,100,7,1231834
146,100,10,5980103
361873,100,23,SM-P615NZAASER
518706,102,7,1572825
150,104,7,0338589
151,104,10,938974
156,106,7,1265132
157,106,10,5953826
309524,106,12,115290
331013,108,10,955164
343587,108,7,0298409
3133,109,7,1354582
310435,109,23,81WB0027RE
127,110,7,1276435
143,112,7,0581990
144,112,10,1161338
361968,112,25,SM-T295NZSASER
589330,112,23,SM-T295NZSASER
126,115,10,5957834
309516,115,12,110612
2858,118,7,1283884
303719,125,10,6011308
341954,125,7,1250789
346815,125,12,113157
152,126,7,0381391
153,126,10,938996
2139,127,7,0976125
2140,127,10,5781389
344028,127,12,105695
362321,127,23,D509DA-EJ075
164,131,7,0171929
458309,131,23,SM-T595NZKASER
165,131,10,701258
2741,132,7,1263061
2742,132,10,6050023
2515,139,7,0928193
2516,139,10,5815709
327562,139,12,104617
2268,145,7,1355500
2269,145,10,5913798
327558,145,12,109602
147,146,10,5740339
296461,146,7,0798422
362396,149,12,111441
362397,149,10,6126120
174,154,7,0813717
175,154,10,5740337
2862,159,7,1069195
310293,159,23,81W8007XRE
362167,159,10,5886598
362168,159,12,107258
2121,161,7,1355505
2122,161,10,6030317
361562,163,10,5956474
361563,163,12,108726
535156,163,7,1236583
584790,163,12,108726
96,164,10,5657564
361835,164,7,0582007
361836,164,12,115841
532740,164,25,SM-T290NZKASER
515919,166,7,0137531
361872,170,10,5980750
309526,177,25,SM-T825NZKASER
121,179,7,1244343
516877,179,10,5996117
325849,179,12,108206
131,181,7,1115080
341792,181,12,105982
361588,184,10,6587933
481332,184,7,1355502
110,190,7,1231835
361817,190,10,5980105
604075,190,12,108950
187,194,7,0298391
188,194,10,954916
296594,195,7,1234621
2199,197,7,0732934
2200,197,10,6246944
179,200,7,1266384
185,201,7,1252022
186,201,10,5983043
166,203,7,1174470
167,203,10,5944027
309518,203,25,PMT4991_4G_D
2154,208,7,1240973
2155,208,10,5876902
2263,210,7,1135056
310310,210,23,81LW0067RE
362273,210,10,5905949
362274,210,12,106502
388587,214,12,108773
510458,214,7,1355544
203,220,7,1250808
204,220,10,5960694
241,222,7,0869233
189,235,7,1252019
190,235,10,5995098
309522,244,25,SM-T835NZKASER
226,247,7,1250809
227,247,10,5973693
2721,255,7,0849652
310350,255,23,7QL94ES
362161,255,12,107446
362162,255,10,5740495
281649,258,7,1117112
2521,263,7,1354590
2777,269,7,0928196
207,270,7,1266146
208,270,10,5995106
534051,270,23,SM-P615NZAESER
346652,272,7,1231832
362022,272,23,SM-P610NZIASER
362023,272,10,5980115
211,274,7,1277123
212,274,10,5973694
237,278,7,0798420
238,278,10,5740307
361557,281,12,109336
361559,281,10,6021303
200,286,7,0542446
201,286,10,938976
296459,286,7,0359780
217,291,7,1245709
361946,291,23,SM-P615NZIASER
361947,291,10,5980107
281647,295,7,1265121
2680,299,7,0527509
2681,299,10,1126752
458375,301,10,6587932
484262,301,7,0928460
2429,309,7,1250794
2430,309,10,6009927
361753,309,12,110014
388590,319,25,D509DA-EJ329
205,324,7,1252020
206,324,10,5995112
361997,324,23,SM-P615NZIESER
507346,324,10,5995103
181,328,7,1265133
182,328,10,5957842
362014,330,10,5793884
362015,330,7,1204265
199,332,10,5860340
361847,333,10,5784834
361848,333,7,0870270
499857,333,12,105119
233,336,10,1025269
