id,Name,Address
1,Lenovo,"Линкольн Хауз, 23 этаж, Тайкуу Плэйс, 979 Кингс Роуд, Чиарри Бэй, Гонконг"
2,Apple,"1 Инфинити Луп, Купертино, Калифорния 95014"
3,Samsung,"Мэтан-донг 129, Самсунг-ро, Енгтонг-гу, Сувон, Кенги-до, 443-742, Республика Корея"
4,ASUS,"Номер 15, Ли-Те-РД., Тайбэй, Тайбэй 112, Тайвань, Р. О. С"
5,HP,"США, 3000 Ганновер-стрит Пало-Альто, Калифорния 94304-1185"
6,Huawei,"Промышленная База Хуавей, По Бантиан Лонгганг, Шэньчжэне, Китай"
7,Xiaomi,"Пекин-Уэст-Роуд, Чаоян, Стоун Уорлд Билдинг, дом 12, блок а, Китай"
8,Acer,"8Ф г. № 88, Секция 1, Синь Тай-Ву-Роуд., Хсичих 221, Таипеи В Сянь, Тайвань"
9,MSI,"Тайвань, Под № 69, Идного Ул., Чжунхэ Н., Новый Тайбэй 235"
10,IRBIS,"117105, Москва, Варшавское шоссе, д33, строение 13, 3й этаж (ст.м. ""Нагатинская"")"
11,Digma,"40 Виллоуби-Роуд, Лондон 0ЙГ Н8, Великобритания"
12,Dell,"Уан Делл уэй Раунд-Рок, Техас 78682, США"
13,Prestigio,"26 Спиру Киприану, Престижио Плаза, 4040, Лимассол, Кипр"
14,Alcatel,"Китай, 15/Ф, ночной клуб башня, Гаосинь НАН Ыи Роад, Наньшань округа, Шэньчжэнь, Гуандун"
15,HONOR,"Промышленная База Хуавей, По Бантиан Лонгганг, Шэньчжэне Китай"
16,Arian,"40 Виллоугхби Роад, Лондон Н8 ОЖГ, Соединенное Королевство Великобритании и Северной Ирландии"
17,BQ-Mobile,"Гонконг, ул. Хоу Минг, район Квун Тонг, Футура Плаза 111, офис 2103"
18,Turbopad,"РФ, 143441, Московская область, 69-й км МКАД, международный комплекс ""Гринвуд"", корпус №17, 3-й этаж"
19,Archos,"12, РУП Ампер, 91430 Иньи, Франция"
20,MEDION,"Я Зэнтхоф 77, 45307 Ессен В Германии, Тел.: +4920183830"
21,Lexand,"РФ, 123060, г. Москва, ул. Берзарина, д.36, стр. 1"
22,GEOFOX,"А15, П.И.Центр, Но.6 Ковлон Бэй, Гонконг"
23,Microsoft,"Уан Майкрософт Уэй, Рэдмонд, ВШ 98052-6399, США"
24,MyPhone,"Ул Польша,. Краковская 119 50-428 Вроцлав"
25,Cube,"Людвиг-Хуттнер-Штрассе 5, 95679 Валдершоф, Германия"
26,Ginzzu,"803, 8Ф, Юэ СЮ билдинг, 160-174 Локхарт роуд, Вань Чай, Гонконг, Китай"
27,Razer,"3-я улица, 201, Люкс 900 Сан-Франциско, Калифорния 94103 США"
28,TeXet,"РФ, Санкт-Петербург ,ул. Маршала Говорова д.52"
29,Ritmix,"1805, 22-5 Джамсил резион, Банг-Ай донг,  Сонгпа-Гу, Сеул, Корея"
30,Amazon,"Ул. 410 Терри. Нортх, Сиэтл, Вашингтон 98109-5210, США"
31,Flycat,"РБ, г. Минск, ул. Одоевского, 131"
32,Alldocube,"Юйианфенг Индастриал Зон, 289 Хуафан Рд, Тонгшенг, Даланг Ст, Лонгхуа, Шенжен, Гуангдонг, Китай (518055)"
33,Wexler,""
34,Keener,"г. Минск, ул. Сурганова 41-201"
35,eSTAR,"Литва, Каунас, ЛТ-44146, Саванори&#371; 125 пр"
36,Евросеть,"Китай, Кантон, Пан Ю, город Ю топ, производственная зона Та Ту"
