id,Code,TextCode,Name
4,006,M,МЕТР
5,055,М2,КВАДРАТНЫЙ МЕТР
6,112,Л,ЛИТР
7,113,М3,КУБИЧЕСКИЙ МЕТР
8,114,1000 М3,1000 КУБИЧЕСКИХ МЕТРОВ
9,130,1000 Л,1000 ЛИТРОВ
10,162,КАР,МЕТРИЧЕСКИЙ КАРАТ(1КАРАТ=2*10(-4)КГ
11,163,Г,ГРАММ
12,166,КГ,КИЛОГРАММ
13,185,Т ГРП,ГРУЗОПОДЪЕМНОСТЬ В ТОННАХ
14,246,1000 КВТ*Ч,1000 КИЛОВАТТ-ЧАС
15,305,КИ,КЮРИ
16,306,Г Д/И,ГРАММ ДЕЛЯЩИХСЯ ИЗОТОПОВ
17,715,ПАР,ПАРА
18,796,ШТ,ШТУКА
19,797,100 ШТ,СТО ШТУК
20,798,1000 ШТ,ТЫСЯЧА ШТУК
21,831,Л 100% СПИРТА,ЛИТР ЧИСТОГО (100%) СПИРТА
22,841,КГ H2O2,КИЛОГРАММ ПЕРОКСИДА ВОДОРОДА
23,845,КГ 90% С/В,КИЛОГРАММ СУХОГО НА 90 % ВЕЩЕСТВА
24,852,КГ K2O,КИЛОГРАММ ОКСИДА КАЛИЯ
25,859,КГ KOH,КИЛОГРАММ ГИДРОКСИДА КАЛИЯ
26,861,КГ N,КИЛОГРАММ АЗОТА
27,863,КГ NAOH,КИЛОГРАММ ГИДРОКСИДА НАТРИЯ
28,865,КГ P2O5,КИЛОГРАММ ПЯТИОКИСИ ФОСФОРА
29,867,КГ U,КИЛОГРАММ УРАНА
