id,GroupID,Name,Description,IsActive,SortOrder
1,1,Принадлежности,,1,110
2,2,Дата выхода на рынок,,1,220
3,2,Назначение,,1,230
4,3,Диагональ экрана,,1,340
5,3,Разрешение экрана,,1,350
6,3,Матрица экрана,,1,360
7,3,Операционная система,,1,370
8,3,Версия операционной системы,,1,380
9,3,Процессор,,1,390
10,3,Графический ускоритель,,1,3100
11,3,Оперативная память,,1,3110
12,3,Внутренняя память,,1,3120
13,3,Поддержка нескольких SIM-карт,,1,3130
14,3,Голосовые вызовы,,1,3140
15,4,Количество ядер,,1,4150
16,4,Тактовая частота,,1,4160
17,5,Материал корпуса,,1,5170
18,5,Цвет корпуса,,1,5180
19,5,Защищенный корпус,,1,5190
20,5,Вибрация,,1,5200
21,6,Длина,,1,6210
22,6,Ширина,,1,6220
23,6,Толщина,,1,6230
24,6,Вес,,1,6240
25,7,Поддержка ввода пером,,1,7250
26,7,Защита от царапин,,1,7260
27,7,3D-экран,,1,7270
28,8,Карты памяти,,1,8280
29,9,Камера,,1,9290
30,9,Количество пикселей камеры,,1,9300
31,9,Авто-фокус,,1,9310
32,9,Вспышка,,1,9320
33,9,Количество активных пикселей фронтальной камеры,,1,9330
34,9,Встроенный микрофон,,1,9340
35,9,Встроенные динамики,,1,9350
36,10,Сканер отпечатков пальцев,,1,10360
37,10,Встроенный проектор,,1,10370
38,10,FM-тюнер,,1,10380
39,10,Сканер карты лица или радужки глаза,,1,10390
40,10,Разблокировка по лицу,,1,10400
41,10,Регистрация силы нажатий,,1,10410
42,11,Акселерометр,,1,11420
43,11,Гироскоп,,1,11430
44,11,Датчик приближения,,1,11440
45,11,Датчик освещенности,,1,11450
46,11,Барометр,,1,11460
47,11,Сканер LiDAR,,1,11470
48,12,GPS/A-GPS,,1,12480
49,12,Электронный компас,,1,12490
50,13,MHL,,1,13500
51,13,NFC,,1,13510
52,13,Bluetooth,,1,13520
53,13,ИК-порт,,1,13530
54,13,Wi-Fi,,1,13540
55,13,Сотовая связь,,1,13550
56,13,USB 2.0,,1,13560
57,13,USB 3.0,,1,13570
58,13,USB-C,,1,13580
59,13,HDMI,,1,13590
60,13,DisplayPort,,1,13600
61,13,Thunderbolt 3,,1,13610
62,13,Аудио выходы (3.5 мм jack),,1,13620
63,13,Док-порт,,1,13630
64,14,Емкость аккумулятора,,1,14640
65,14,Cъёмный аккумулятор,,1,14650
66,14,Время работы,,1,14660
67,14,Беспроводная зарядка,,1,14670
68,15,Док-станция,,1,15680
69,15,Клавиатура,,1,15690
70,15,Дополнительный аккумулятор,,1,15700
71,15,Сумка или чехол,,1,15710
72,15,Автомобильное крепление,,1,15720
73,15,Наушники,,1,15730
74,15,Перо (стилус),,1,15740
75,15,Автомобильный адаптер,,1,15750
76,14,Запас энергии,,1,14760
77,15,Комплект поставки,,1,15770
78,16,Дополнительные принадлежности,,1,16780
79,17,Дата выхода на рынок,,1,17790
80,17,Продуктовая линейка,,1,17800
81,17,Тип,,1,17810
82,17,Назначение,,1,17820
83,18,Платформа (кодовое название),,1,18830
84,18,Процессор,,1,18840
85,18,Модель процессора,,1,18850
86,18,Количество ядер,,1,18860
87,18,Тактовая частота,,1,18870
88,18,Энергопотребление процессора (TDP),,1,18880
89,18,Встроенная в процессор графика,,1,18890
90,19,Материал корпуса,,1,19900
91,19,Цвет корпуса,,1,19910
