id,KindID,Name,SortOrder,IsActive
1,2,"Возможно, вас заинтересует",3583,1
2,2,Общая информация,2218,1
3,2,Основные,1534,1
4,2,Процессор,4667,1
5,2,Конструкция,3773,1
6,2,Размеры и вес,4178,1
7,2,Экран,5688,1
8,2,Хранение данных,7000,1
9,2,Камера и звук,9333,1
10,2,Функции,5812,1
11,2,Датчики,10167,1
12,2,Навигация,9778,1
13,2,Интерфейсы,6404,1
14,2,Аккумулятор и время работы,9526,1
15,2,Комплектация,5892,1
16,1,"Возможно, вас заинтересует",3583,1
17,1,Общая информация,2218,1
18,1,Процессор,4667,1
19,1,Конструкция,3773,1
20,1,Размеры и вес,4178,1
21,1,Экран,5688,1
22,1,Оперативная память,6750,1
23,1,Хранение данных,7000,1
24,1,Графика,8750,1
25,1,Камера и звук,9333,1
26,1,Клавиатура и тачпад,11000,1
27,1,Функции,5812,1
28,1,Интерфейсы,6404,1
29,1,Аккумулятор и время работы,9526,1
30,1,Комплектация,5892,1
31,3,Общая информация,2218,1
32,3,Процессор,4667,1
33,3,Конструкция,3773,1
34,3,Размеры и вес,4178,1
35,3,Экран,5688,1
36,3,Оперативная память,6750,1
37,3,Хранение данных,7000,1
38,3,Графика,8750,1
39,3,Камера и звук,9333,1
40,3,Интерфейсы,6404,1
41,3,Комплектация,5892,1
42,3,Функции,5812,1
43,4,Общая информация,2218,1
44,4,Основные,1534,1
45,4,Процессор,4667,1
46,4,Конструкция,3773,1
47,4,Размеры и вес,4178,1
48,4,Оперативная память,6750,1
49,4,Хранение данных,7000,1
50,5,Общая информация,2218,1
51,5,Основные,1534,1
52,4,Графика,8750,1
53,4,Корпус и блок питания,10000,1
54,4,Интерфейсы,6404,1
55,5,Технические характеристики,3392,1
56,4,Комплектация,5892,1
57,5,Конструктивные характеристики,7750,1
58,5,Интерфейсы,6404,1
59,5,Комплектация,5892,1
60,5,Размеры и вес,4178,1
61,4,Функциональность,7833,1
62,3,Аккумулятор и время работы,9526,1
63,6,Общая информация,2218,1
64,6,Основные,1534,1
65,6,Технические характеристики,3392,1
66,6,Интерфейсы,6404,1
67,7,Общая информация,2218,1
68,7,Технические характеристики,3392,1
69,6,Комплектация,5892,1
70,8,Общая информация,2218,1
71,8,Технические характеристики,3392,1
72,8,Память,6625,1
73,8,Аудио и Видео,6000,1
74,8,Интерфейсы,6404,1
75,8,Габариты,7600,1
76,9,Основные,1534,1
77,9,Технические характеристики,3392,1
78,9,Конструкция,3773,1
79,10,Основные,1534,1
80,10,Технические характеристики,3392,1
81,10,Вентилятор,11667,1
82,10,Размеры и вес,4178,1
83,10,Помпа,13000,1
84,10,Общая информация,2218,1
85,9,Общая информация,2218,1
86,11,Общая информация,2218,1
87,11,Основные,1534,1
88,11,Технические характеристики,3392,1
89,11,Комплектация,5892,1
90,12,Основные,1534,1
91,12,Технические характеристики,3392,1
92,13,Общая информация,2218,1
93,13,Технические характеристики корпуса,9333,1
94,13,Передняя панель корпуса,10333,1
95,13,Габариты,7600,1
96,12,Комплектация,5892,1
97,13,Технические характеристики блока питания,3000,1
98,13,Разъемы блока питания,4000,1
99,14,Технические характеристики блока питания,3000,1
100,14,Разъемы блока питания,4000,1
101,14,Габариты,7600,1
102,14,Общая информация,2218,1
103,15,Общая информация,2218,1
104,15,Основные,1534,1
105,15,Технические характеристики,3392,1
106,15,Интерфейсы,6404,1
107,15,Комплектация,5892,1
108,15,Размеры и вес,4178,1
109,16,Основные,1534,1
110,16,Интерфейсы,6404,1
111,16,Размеры и вес,4178,1
112,16,Функции,5812,1
113,16,Общая информация,2218,1
114,17,"Возможно, вас заинтересует",3583,1
115,17,Общая информация,2218,1
116,17,Основные,1534,1
117,17,Принтер,4000,1
118,17,Копир,5000,1
119,17,Сканер,6000,1
120,17,Лотки,7000,1
121,17,Экран,5688,1
122,17,Процессор и память,9000,1
123,17,Поддержка носителей,10000,1
124,17,Интерфейсы,6404,1
125,17,Комплектация,5892,1
126,17,Размеры и вес,4178,1
127,18,Основные,1534,1
128,18,Технические характеристики,3392,1
129,18,Интерфейсы,6404,1
130,18,Питание,7607,1
131,18,Размеры и вес,4178,1
132,17,Факс,14000,1
133,18,Общая информация,2218,1
134,19,Основные,1534,1
135,19,Размеры и вес,4178,1
136,19,Общая информация,2218,1
137,17,Питание,7607,1
138,20,Основные,1534,1
139,20,Технические характеристики,3392,1
140,20,Экран,5688,1
141,20,Размеры и вес,4178,1
142,20,Комплектация,5892,1
143,20,Общая информация,2218,1
