id,Code,TextCode,DateFrom,DateTo,Name,Rounding,Description
1,784,AED,,,Дирхам (ОАЭ),2,""
2,971,AFN,,,Афгани,2,""
3,008,ALL,,,Лек,2,""
4,051,AMD,,,Армянский драм,2,""
5,532,ANG,,,Нидерландский антильский гульден,2,""
6,973,AOA,,,Кванза,2,Ангольская 
7,032,ARS,,,Аргентинское песо,2,""
8,040,ATS,,2016-12-31,Австрийский шиллинг,2,""
9,036,AUD,,,Австралийский доллар,2,""
10,533,AWG,,,Арубанский флорин,2,""
11,944,AZN,,,Азербайджанский манат,2,""
12,977,BAM,,,Конвертируемая марка ,2,(Босния и Герцеговина)
13,052,BBD,,, Барбадосский доллар,2,""
14,050,BDT,,,Така,2,""
15,056,BEF,,2016-12-31,Бельгийский франк,2,""
16,975,BGN,,,Болгарский лев,2,""
17,048,BHD,,,Бахрейнский динар,2,""
18,108,BIF,,,Бурундийский франк,2,""
19,060,BMD,,,Бермудский доллар,2,""
20,096,BND,,,Брунейский доллар,2,""
21,068,BOB,,,Боливиано,2,""
22,986,BRL,,,Бразильский реал,2,""
23,044,BSD,,,Багамский доллар,2,""
24,064,BTN,,,Нгултрум,2,""
25,072,BWP,,,Пула,2,""
26,974,BYR,,2016-06-30,Белорусский рубль <1>,0,"Применяется для денежных средств, уплаченных до 30 июня 2016 г. включительно."
27,933,BYN,2016-07-01,,Белорусский рубль,2,"новый, с 1.07.2016"
28,084,BZD,,,Белизский доллар,2,""
29,124,CAD,,,Канадский доллар,2,""
30,976,CDF,,,Конголезский франк,2,""
31,756,CHF,,,Швейцарский франк,2,""
32,152,CLP,,,Чилийское песо,2,""
33,156,CNY,,,Юань,2,""
34,170,COP,,,Колумбийское песо,2,""
35,970,COU,,,Единица реальной стоимости ,2,(Колумбия)
36,188,CRC,,,Костариканский колон,2,""
37,931,CUC,,,Конвертируемое песо,2,""
38,192,CUP,,,Кубинское песо,2,""
39,132,CVE,,,Эскудо  Кабо-Верде ,2,""
40,203,CZK,,,Чешская крона,2,""
41,276,DEM,,2016-12-31,Немецкая марка,2,""
42,262,DJF,,,Франк Джибути,2, 
43,208,DKK,,,Датская крона,2,""
44,214,DOP,,,Доминиканское песо,2,""
45,012,DZD,,,Алжирский динар,2,""
46,233,EEK,,2016-12-31,Эстонская крона,2,""
47,818,EGP,,,Египетский фунт,2,""
48,232,ERN,,,Накфа ,2,(Эритрея)
49,724,ESP,,2016-12-31,Испанская песета,2,""
50,230,ETB,,,Эфиопский быр,2,""
51,978,EUR,,,Евро,2,(Единая европейская валюта)
52,246,FIM,,2016-12-31,Финляндская марка,2,""
53,242,FJD,,,Доллар Фиджи,2,""
54,238,FKP,,,Фунт Фолклендских островов,2,""
55,250,FRF,,2016-12-31,Французский франк,2,""
56,826,GBP,,,Фунт стерлингов ,2,""
57,981,GEL,,,Лари,2,Грузинский 
58,936,GHS,,,Ганский седи,2,""
59,292,GIP,,,Гибралтарский фунт,2,""
60,270,GMD,,,Даласи,2,""
61,324,GNF,,,Гвинейский франк,2,""
62,300,GRD,,2016-12-31,Греческая драхма,2,""
