id,StockID,SL,WriteDate
36,2,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:20:33
38,5,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:22:31
39,6,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:23:05
40,7,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:23:10
41,8,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:23:43
42,9,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:33
43,10,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
44,11,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
45,12,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
46,13,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
47,14,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
48,15,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
49,16,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
50,17,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
51,18,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
52,19,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
53,20,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
54,21,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
55,22,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
56,23,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
57,24,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
58,25,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
59,26,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
60,27,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
61,29,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
62,31,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
63,32,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
64,33,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
65,34,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
66,35,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
67,36,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
68,30,"{""S_MARKUP"": null, ""S_MARKUP_CASH"": null}",2021-10-14 00:24:57
37,3,"{""S_MARKUP"": ""10"", ""S_MARKUP_CASH"": ""11""}",2021-10-14 00:21:19
35,1,"{""S_MARKUP"": ""14"", ""S_MARKUP_CASH"": ""12""}",2021-10-14 00:19:54
